$p_{\max}$,"$u_{S,\max}$",value,fp_num,name,stability
0.08071428571428571,0.07,,3,H,False
0.08071428571428571,0.07,,3,S,False
0.08071428571428571,0.07,,3,N,False
0.08071428571428571,0.07,,3,C,False
0.15142857142857144,0.001,17.1428571428571,0,H,True
0.15142857142857144,0.001,0.0,0,S,True
0.15142857142857144,0.001,0.0180900000000000,0,N,True
0.15142857142857144,0.001,0.150000000000000,0,C,True
0.15142857142857144,0.001,,1,H,False
0.15142857142857144,0.001,,1,S,False
0.15142857142857144,0.001,,1,N,False
0.15142857142857144,0.001,,1,C,False
0.15142857142857144,0.001,,2,H,False
0.15142857142857144,0.001,,2,S,False
0.15142857142857144,0.001,,2,N,False
0.15142857142857144,0.001,,2,C,False
0.15142857142857144,0.001,,3,H,False
0.15142857142857144,0.001,,3,S,False
0.15142857142857144,0.001,,3,N,False
0.15142857142857144,0.001,,3,C,False
0.15142857142857144,0.005928571428571429,17.1428571428571,0,H,True
0.15142857142857144,0.005928571428571429,0.0,0,S,True
0.15142857142857144,0.005928571428571429,0.0180900000000000,0,N,True
0.15142857142857144,0.005928571428571429,0.150000000000000,0,C,True
0.15142857142857144,0.005928571428571429,,1,H,False
0.15142857142857144,0.005928571428571429,,1,S,False
0.15142857142857144,0.005928571428571429,,1,N,False
0.15142857142857144,0.005928571428571429,,1,C,False
0.15142857142857144,0.005928571428571429,,2,H,False
0.15142857142857144,0.005928571428571429,,2,S,False
0.15142857142857144,0.005928571428571429,,2,N,False
0.15142857142857144,0.005928571428571429,,2,C,False
0.15142857142857144,0.005928571428571429,,3,H,False
0.15142857142857144,0.005928571428571429,,3,S,False
0.15142857142857144,0.005928571428571429,,3,N,False
0.15142857142857144,0.005928571428571429,,3,C,False
0.15142857142857144,0.010857142857142857,17.1428571428571,0,H,False
0.15142857142857144,0.010857142857142857,0.0,0,S,False
0.15142857142857144,0.010857142857142857,0.0180900000000000,0,N,False
0.15142857142857144,0.010857142857142857,0.150000000000000,0,C,False
0.15142857142857144,0.010857142857142857,17.1428571428571,1,H,True
0.15142857142857144,0.010857142857142857,39.1071428571429,1,S,True
0.15142857142857144,0.010857142857142857,0.0180899999999999,1,N,True
0.15142857142857144,0.010857142857142857,0.0131250000000000,1,C,True
0.15142857142857144,0.010857142857142857,39.6154093097910,2,H,False
0.15142857142857144,0.010857142857142857,71.1650047841248,2,S,False
0.15142857142857144,0.010857142857142857,0.0141573033707865,2,N,False
0.15142857142857144,0.010857142857142857,0.0159981989183777,2,C,False
0.15142857142857144,0.010857142857142857,39.6154093097913,3,H,True
0.15142857142857144,0.010857142857142857,7.57708932488882,3,S,True
0.15142857142857144,0.010857142857142857,0.0141573033707865,3,N,True
0.15142857142857144,0.010857142857142857,0.112306049677128,3,C,True
0.15142857142857144,0.01578571428571429,17.1428571428571,0,H,False
0.15142857142857144,0.01578571428571429,0.0,0,S,False
0.15142857142857144,0.01578571428571429,0.0180900000000000,0,N,False
0.15142857142857144,0.01578571428571429,0.150000000000000,0,C,False
0.15142857142857144,0.01578571428571429,17.1428571428571,1,H,True
0.15142857142857144,0.01578571428571429,39.1071428571429,1,S,True
0.15142857142857144,0.01578571428571429,0.0180899999999999,1,N,True
0.15142857142857144,0.01578571428571429,0.0131250000000000,1,C,True
0.15142857142857144,0.01578571428571429,,2,H,False
0.15142857142857144,0.01578571428571429,,2,S,False
0.15142857142857144,0.01578571428571429,,2,N,False
0.15142857142857144,0.01578571428571429,,2,C,False
0.15142857142857144,0.01578571428571429,,3,H,False
0.15142857142857144,0.01578571428571429,,3,S,False
0.15142857142857144,0.01578571428571429,,3,N,False
0.15142857142857144,0.01578571428571429,,3,C,False
0.15142857142857144,0.020714285714285716,17.1428571428571,0,H,False
0.15142857142857144,0.020714285714285716,0.0,0,S,False
0.15142857142857144,0.020714285714285716,0.0180900000000000,0,N,False
