$\epsilon$,$N_I$,value,fp_num,name,stability
1.0357142857142858,0.001,0.0193214285714286,0,N,False
1.0357142857142858,0.001,0.151071428571428,0,C,False
1.0357142857142858,0.001,15.3061224489796,1,H,True
1.0357142857142858,0.001,37.1650822977472,1,S,True
1.0357142857142858,0.001,0.0193214285714286,1,N,True
1.0357142857142858,0.001,0.00278275020341741,1,C,True
1.0357142857142858,0.001,110.129870129870,2,H,False
1.0357142857142858,0.001,53.5360549035405,2,S,False
1.0357142857142858,0.001,0.00272727272727273,2,N,False
1.0357142857142858,0.001,0.0107558340069423,2,C,False
1.0357142857142858,0.001,110.129870129870,3,H,True
1.0357142857142858,0.001,28.2564159416864,3,S,True
1.0357142857142858,0.001,0.00272727272727273,3,N,True
1.0357142857142858,0.001,0.0247744073817205,3,C,True
1.0357142857142858,0.0011250000000000001,15.3061224489796,0,H,False
1.0357142857142858,0.0011250000000000001,0.0,0,S,False
1.0357142857142858,0.0011250000000000001,0.0194464285714286,0,N,False
1.0357142857142858,0.0011250000000000001,0.151071428571428,0,C,False
1.0357142857142858,0.0011250000000000001,15.3061224489796,1,H,True
1.0357142857142858,0.0011250000000000001,37.1650822977472,1,S,True
1.0357142857142858,0.0011250000000000001,0.0194464285714286,1,N,True
1.0357142857142858,0.0011250000000000001,0.00278275020341741,1,C,True
1.0357142857142858,0.0011250000000000001,110.844155844156,2,H,False
1.0357142857142858,0.0011250000000000001,51.1422786021669,2,S,False
1.0357142857142858,0.0011250000000000001,0.00272727272727273,2,N,False
1.0357142857142858,0.0011250000000000001,0.0114327018392484,2,C,False
1.0357142857142858,0.0011250000000000001,110.844155844156,3,H,True
1.0357142857142858,0.0011250000000000001,29.7734147880847,3,S,True
1.0357142857142858,0.0011250000000000001,0.00272727272727273,3,N,True
1.0357142857142858,0.0011250000000000001,0.0232062322535099,3,C,True
1.0357142857142858,0.00125,15.3061224489796,0,H,False
1.0357142857142858,0.00125,0.0,0,S,False
1.0357142857142858,0.00125,0.0195714285714286,0,N,False
1.0357142857142858,0.00125,0.151071428571428,0,C,False
1.0357142857142858,0.00125,15.3061224489796,1,H,True
1.0357142857142858,0.00125,37.1650822977472,1,S,True
1.0357142857142858,0.00125,0.0195714285714286,1,N,True
1.0357142857142858,0.00125,0.00278275020341741,1,C,True
1.0357142857142858,0.00125,111.558441558442,2,H,False
1.0357142857142858,0.00125,48.2962112007760,2,S,False
1.0357142857142858,0.00125,0.00272727272727273,2,N,False
1.0357142857142858,0.00125,0.0123378323921145,2,C,False
1.0357142857142858,0.00125,111.558441558442,3,H,True
1.0357142857142858,0.00125,31.7245676731958,3,S,True
1.0357142857142858,0.00125,0.00272727272727273,3,N,True
1.0357142857142858,0.00125,0.0214097944047392,3,C,True
1.0357142857142858,0.001375,15.3061224489796,0,H,False
1.0357142857142858,0.001375,0.0,0,S,False
1.0357142857142858,0.001375,0.0196964285714286,0,N,False
1.0357142857142858,0.001375,0.151071428571428,0,C,False
1.0357142857142858,0.001375,15.3061224489796,1,H,True
1.0357142857142858,0.001375,37.1650822977472,1,S,True
1.0357142857142858,0.001375,0.0196964285714286,1,N,True
1.0357142857142858,0.001375,0.00278275020341741,1,C,True
1.0357142857142858,0.001375,112.272727272727,2,H,False
1.0357142857142858,0.001375,44.3806128419906,2,S,False
1.0357142857142858,0.001375,0.00272727272727273,2,N,False
1.0357142857142858,0.001375,0.0138026203538489,2,C,False
1.0357142857142858,0.001375,112.272727272727,3,H,True
1.0357142857142858,0.001375,34.7271144543970,3,S,True
1.0357142857142858,0.001375,0.00272727272727273,3,N,True
1.0357142857142858,0.001375,0.0190536991471003,3,C,True
1.0357142857142858,0.0015,15.3061224489796,0,H,False
1.0357142857142858,0.0015,0.0,0,S,False
1.0357142857142858,0.0015,0.0198214285714286,0,N,False
1.0357142857142858,0.0015,0.151071428571428,0,C,False
1.0357142857142858,0.0015,15.3061224489796,1,H,True
1.0357142857142858,0.0015,37.1650822977472,1,S,True
1.0357142857142858,0.0015,0.0198214285714286,1,N,True
1.0357142857142858,0.0015,0.00278275020341741,1,C,True
1.0357142857142858,0.0015,,2,H,False
1.0357142857142858,0.0015,,2,S,False
1.0357142857142858,0.0015,,2,N,False
1.0357142857142858,0.0015,,2,C,False
1.0357142857142858,0.0015,,3,H,False
1.0357142857142858,0.0015,,3,S,False
1.0357142857142858,0.0015,,3,N,False
1.0357142857142858,0.0015,,3,C,False
1.0357142857142858,0.0016250000000000001,15.3061224489796,0,H,False
1.0357142857142858,0.0016250000000000001,0.0,0,S,False
1.0357142857142858,0.0016250000000000001,0.0199464285714286,0,N,False
1.0357142857142858,0.0016250000000000001,0.151071428571428,0,C,False
1.0357142857142858,0.0016250000000000001,15.3061224489796,1,H,True
1.0357142857142858,0.0016250000000000001,37.1650822977472,1,S,True
1.0357142857142858,0.0016250000000000001,0.0199464285714286,1,N,True
1.0357142857142858,0.0016250000000000001,0.00278275020341741,1,C,True
1.0357142857142858,0.0016250000000000001,,2,H,False
1.0357142857142858,0.0016250000000000001,,2,S,False
1.0357142857142858,0.0016250000000000001,,2,N,False
1.0357142857142858,0.0016250000000000001,,2,C,False
1.0357142857142858,0.0016250000000000001,,3,H,False
1.0357142857142858,0.0016250000000000001,,3,S,False
1.0357142857142858,0.0016250000000000001,,3,N,False
1.0357142857142858,0.0016250000000000001,,3,C,False
1.0357142857142858,0.00175,15.3061224489796,0,H,False
1.0357142857142858,0.00175,0.0,0,S,False
1.0357142857142858,0.00175,0.0200714285714286,0,N,False
1.0357142857142858,0.00175,0.151071428571428,0,C,False
1.0357142857142858,0.00175,15.3061224489796,1,H,True
1.0357142857142858,0.00175,37.1650822977472,1,S,True
1.0357142857142858,0.00175,0.0200714285714286,1,N,True
1.0357142857142858,0.00175,0.00278275020341741,1,C,True
1.0357142857142858,0.00175,,2,H,False
1.0357142857142858,0.00175,,2,S,False
1.0357142857142858,0.00175,,2,N,False
1.0357142857142858,0.00175,,2,C,False
1.0357142857142858,0.00175,,3,H,False
1.0357142857142858,0.00175,,3,S,False
1.0357142857142858,0.00175,,3,N,False
1.0357142857142858,0.00175,,3,C,False
1.0714285714285714,0.0,13.4693877551021,0,H,False
1.0714285714285714,0.0,0.0,0,S,False
1.0714285714285714,0.0,0.0186428571428571,0,N,False
1.0714285714285714,0.0,0.152142857142857,0,C,False
1.0714285714285714,0.0,13.4693877551021,1,H,True
1.0714285714285714,0.0,32.3615357151468,1,S,True
1.0714285714285714,0.0,0.0186428571428571,1,N,True
1.0714285714285714,0.0,0.00283849918433932,1,C,True
1.0714285714285714,0.0,104.415584415584,2,H,False
1.0714285714285714,0.0,62.9321478410237,2,S,False
1.0714285714285714,0.0,0.00272727272727273,2,N,False
1.0714285714285714,0.0,0.00858494021566532,2,C,False
1.0714285714285714,0.0,104.415584415584,3,H,True
1.0714285714285714,0.0,22.3067348429746,3,S,True
1.0714285714285714,0.0,0.00272727272727273,3,N,True
1.0714285714285714,0.0,0.0327631244439818,3,C,True
1.0714285714285714,0.000125,13.4693877551021,0,H,False
1.0714285714285714,0.000125,0.0,0,S,False
1.0714285714285714,0.000125,0.0187678571428571,0,N,False
1.0714285714285714,0.000125,0.152142857142857,0,C,False
1.0714285714285714,0.000125,13.4693877551021,1,H,True
1.0714285714285714,0.000125,32.3615357151468,1,S,True
