$\epsilon$,$C_I$,value,fp_num,name,stability
1.0357142857142858,0.09285714285714286,0.0,0,S,False
1.0357142857142858,0.09285714285714286,0.0184114285714286,0,N,False
1.0357142857142858,0.09285714285714286,0.153928571428571,0,C,False
1.0357142857142858,0.09285714285714286,15.3061224489796,1,H,True
1.0357142857142858,0.09285714285714286,37.8811582017930,1,S,True
1.0357142857142858,0.09285714285714286,0.0184114285714286,1,N,True
1.0357142857142858,0.09285714285714286,0.00278275020341741,1,C,True
1.0357142857142858,0.09285714285714286,104.929870129870,2,H,False
1.0357142857142858,0.09285714285714286,71.7881843997668,2,S,False
1.0357142857142858,0.09285714285714286,0.00272727272727273,2,N,False
1.0357142857142858,0.09285714285714286,0.00758527379879852,2,C,False
1.0357142857142858,0.09285714285714286,104.929870129870,3,H,True
1.0357142857142858,0.09285714285714286,20.7495895717739,3,S,True
1.0357142857142858,0.09285714285714286,0.00272727272727273,3,N,True
1.0357142857142858,0.09285714285714286,0.0372908275611923,3,C,True
1.0357142857142858,0.09857142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.09857142857142857,0.0,0,S,False
1.0357142857142858,0.09857142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.09857142857142857,0.159642857142857,0,C,False
1.0357142857142858,0.09857142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.09857142857142857,39.3133100098847,1,S,True
1.0357142857142858,0.09857142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.09857142857142857,0.00278275020341741,1,C,True
1.0357142857142858,0.09857142857142857,104.929870129870,2,H,False
1.0357142857142858,0.09857142857142857,82.9094807346922,2,S,False
1.0357142857142858,0.09857142857142857,0.00272727272727273,2,N,False
1.0357142857142858,0.09857142857142857,0.00682672719279766,2,C,False
1.0357142857142858,0.09857142857142857,104.929870129870,3,H,True
1.0357142857142858,0.09857142857142857,19.4462927811637,3,S,True
1.0357142857142858,0.09857142857142857,0.00272727272727273,3,N,True
1.0357142857142858,0.09857142857142857,0.0437636598814787,3,C,True
1.0357142857142858,0.10428571428571429,15.3061224489796,0,H,False
1.0357142857142858,0.10428571428571429,0.0,0,S,False
1.0357142857142858,0.10428571428571429,0.0184114285714286,0,N,False
1.0357142857142858,0.10428571428571429,0.165357142857143,0,C,False
1.0357142857142858,0.10428571428571429,15.3061224489796,1,H,True
1.0357142857142858,0.10428571428571429,40.7454618179763,1,S,True
1.0357142857142858,0.10428571428571429,0.0184114285714286,1,N,True
1.0357142857142858,0.10428571428571429,0.00278275020341741,1,C,True
1.0357142857142858,0.10428571428571429,104.929870129870,2,H,False
1.0357142857142858,0.10428571428571429,93.6468403324340,2,S,False
1.0357142857142858,0.10428571428571429,0.00272727272727273,2,N,False
1.0357142857142858,0.10428571428571429,0.00629163997916863,2,C,False
1.0357142857142858,0.10428571428571429,104.929870129870,3,H,True
1.0357142857142858,0.10428571428571429,18.5269327277374,3,S,True
1.0357142857142858,0.10428571428571429,0.00272727272727273,3,N,True
1.0357142857142858,0.10428571428571429,0.0500130328093936,3,C,True
1.0357142857142858,0.11,15.3061224489796,0,H,False
1.0357142857142858,0.11,0.0,0,S,False
1.0357142857142858,0.11,0.0184114285714286,0,N,False
1.0357142857142858,0.11,0.171071428571428,0,C,False
1.0357142857142858,0.11,15.3061224489796,1,H,True
1.0357142857142858,0.11,42.1776136260680,1,S,True
1.0357142857142858,0.11,0.0184114285714286,1,N,True
1.0357142857142858,0.11,0.00278275020341741,1,C,True
1.0357142857142858,0.11,104.929870129870,2,H,False
1.0357142857142858,0.11,104.156085102630,2,S,False
1.0357142857142858,0.11,0.00272727272727273,2,N,False
1.0357142857142858,0.11,0.00588932047390773,2,C,False
1.0357142857142858,0.11,104.929870129870,3,H,True
1.0357142857142858,0.11,17.8356875018563,3,S,True
1.0357142857142858,0.11,0.00272727272727273,3,N,True
1.0357142857142858,0.11,0.0561296380289401,3,C,True
1.0357142857142858,0.11571428571428571,15.3061224489796,0,H,False
1.0357142857142858,0.11571428571428571,0.0,0,S,False
1.0357142857142858,0.11571428571428571,0.0184114285714286,0,N,False
1.0357142857142858,0.11571428571428571,0.176785714285714,0,C,False
1.0357142857142858,0.11571428571428571,15.3061224489796,1,H,True
1.0357142857142858,0.11571428571428571,43.6097654341596,1,S,True
1.0357142857142858,0.11571428571428571,0.0184114285714286,1,N,True
1.0357142857142858,0.11571428571428571,0.00278275020341741,1,C,True
1.0357142857142858,0.11571428571428571,104.929870129870,2,H,False
1.0357142857142858,0.11571428571428571,114.516118818176,2,S,False
1.0357142857142858,0.11571428571428571,0.00272727272727273,2,N,False
1.0357142857142858,0.11571428571428571,0.00557384499366016,2,C,False
1.0357142857142858,0.11571428571428571,104.929870129870,3,H,True
1.0357142857142858,0.11571428571428571,17.2936533306265,3,S,True
1.0357142857142858,0.11571428571428571,0.00272727272727273,3,N,True
1.0357142857142858,0.11571428571428571,0.0621593992234734,3,C,True
1.0357142857142858,0.12142857142857143,15.3061224489796,0,H,False
1.0357142857142858,0.12142857142857143,0.0,0,S,False
1.0357142857142858,0.12142857142857143,0.0184114285714286,0,N,False
1.0357142857142858,0.12142857142857143,0.182500000000000,0,C,False
1.0357142857142858,0.12142857142857143,15.3061224489796,1,H,True
1.0357142857142858,0.12142857142857143,45.0419172422513,1,S,True
1.0357142857142858,0.12142857142857143,0.0184114285714286,1,N,True
1.0357142857142858,0.12142857142857143,0.00278275020341741,1,C,True
1.0357142857142858,0.12142857142857143,104.929870129870,2,H,False
1.0357142857142858,0.12142857142857143,124.772181731214,2,S,False
1.0357142857142858,0.12142857142857143,0.00272727272727273,2,N,False
1.0357142857142858,0.12142857142857143,0.00531888274411567,2,C,False
1.0357142857142858,0.12142857142857143,104.929870129870,3,H,True
1.0357142857142858,0.12142857142857143,16.8555899619036,3,S,True
