$\epsilon$,"$u_{S,\max}$",value,fp_num,name,stability
1.0357142857142858,0.010857142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.010857142857142857,37.1650822977472,1,S,True
1.0357142857142858,0.010857142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.010857142857142857,0.00278275020341741,1,C,True
1.0357142857142858,0.010857142857142857,39.6154093097909,2,H,False
1.0357142857142858,0.010857142857142857,77.5459937827945,2,S,False
1.0357142857142858,0.010857142857142857,0.0141573033707865,2,N,False
1.0357142857142858,0.010857142857142857,0.00316507606240376,2,C,False
1.0357142857142858,0.010857142857142857,39.6154093097913,3,H,True
1.0357142857142858,0.010857142857142857,1.52785529731927,3,S,True
1.0357142857142858,0.010857142857142857,0.0141573033707865,3,N,True
1.0357142857142858,0.010857142857142857,0.120355240080253,3,C,True
1.0357142857142858,0.01578571428571429,15.3061224489796,0,H,False
1.0357142857142858,0.01578571428571429,0.0,0,S,False
1.0357142857142858,0.01578571428571429,0.0184114285714286,0,N,False
1.0357142857142858,0.01578571428571429,0.151071428571428,0,C,False
1.0357142857142858,0.01578571428571429,15.3061224489796,1,H,True
1.0357142857142858,0.01578571428571429,37.1650822977472,1,S,True
1.0357142857142858,0.01578571428571429,0.0184114285714286,1,N,True
1.0357142857142858,0.01578571428571429,0.00278275020341741,1,C,True
1.0357142857142858,0.01578571428571429,74.9446654611208,2,H,False
1.0357142857142858,0.01578571428571429,94.7199340875896,2,S,False
1.0357142857142858,0.01578571428571429,0.00797468354430382,2,N,False
1.0357142857142858,0.01578571428571429,0.00430709182176892,2,C,False
1.0357142857142858,0.01578571428571429,74.9446654611210,3,H,True
1.0357142857142858,0.01578571428571429,7.81067542781201,3,S,True
1.0357142857142858,0.01578571428571429,0.00797468354430382,3,N,True
1.0357142857142858,0.01578571428571429,0.0751283110477042,3,C,True
1.0357142857142858,0.020714285714285716,15.3061224489796,0,H,False
1.0357142857142858,0.020714285714285716,0.0,0,S,False
1.0357142857142858,0.020714285714285716,0.0184114285714286,0,N,False
1.0357142857142858,0.020714285714285716,0.151071428571428,0,C,False
1.0357142857142858,0.020714285714285716,15.3061224489796,1,H,True
1.0357142857142858,0.020714285714285716,37.1650822977472,1,S,True
1.0357142857142858,0.020714285714285716,0.0184114285714286,1,N,True
1.0357142857142858,0.020714285714285716,0.00278275020341741,1,C,True
1.0357142857142858,0.020714285714285716,88.7962240402770,2,H,False
1.0357142857142858,0.020714285714285716,87.2922836074214,2,S,False
1.0357142857142858,0.020714285714285716,0.00555066079295154,2,N,False
1.0357142857142858,0.020714285714285716,0.00529591409444347,2,C,False
1.0357142857142858,0.020714285714285716,88.7962240402769,3,H,True
1.0357142857142858,0.020714285714285716,12.3266126311273,3,S,True
1.0357142857142858,0.020714285714285716,0.00555066079295154,3,N,True
1.0357142857142858,0.020714285714285716,0.0568550954652787,3,C,True
1.0357142857142858,0.025642857142857144,15.3061224489796,0,H,False
1.0357142857142858,0.025642857142857144,0.0,0,S,False
1.0357142857142858,0.025642857142857144,0.0184114285714286,0,N,False
1.0357142857142858,0.025642857142857144,0.151071428571428,0,C,False
1.0357142857142858,0.025642857142857144,15.3061224489796,1,H,True
1.0357142857142858,0.025642857142857144,37.1650822977472,1,S,True
1.0357142857142858,0.025642857142857144,0.0184114285714286,1,N,True
1.0357142857142858,0.025642857142857144,0.00278275020341741,1,C,True
1.0357142857142858,0.025642857142857144,96.1899613899615,2,H,False
1.0357142857142858,0.025642857142857144,79.5736605149212,2,S,False
1.0357142857142858,0.025642857142857144,0.00425675675675675,2,N,False
1.0357142857142858,0.025642857142857144,0.00618528357399833,2,C,False
1.0357142857142858,0.025642857142857144,96.1899613899614,3,H,True
1.0357142857142858,0.025642857142857144,15.6989821937696,3,S,True
1.0357142857142858,0.025642857142857144,0.00425675675675675,3,N,True
1.0357142857142858,0.025642857142857144,0.0467395971244380,3,C,True
1.0357142857142858,0.030571428571428576,15.3061224489796,0,H,False
1.0357142857142858,0.030571428571428576,0.0,0,S,False
1.0357142857142858,0.030571428571428576,0.0184114285714286,0,N,False
1.0357142857142858,0.030571428571428576,0.151071428571428,0,C,False
1.0357142857142858,0.030571428571428576,15.3061224489796,1,H,True
1.0357142857142858,0.030571428571428576,37.1650822977472,1,S,True
1.0357142857142858,0.030571428571428576,0.0184114285714286,1,N,True
1.0357142857142858,0.030571428571428576,0.00278275020341741,1,C,True
1.0357142857142858,0.030571428571428576,100.788258317025,2,H,False
1.0357142857142858,0.030571428571428576,73.1634180850322,2,S,False
1.0357142857142858,0.030571428571428576,0.00345205479452054,2,N,False
1.0357142857142858,0.030571428571428576,0.00700977998266128,2,C,False
1.0357142857142858,0.030571428571428576,100.788258317025,3,H,True
1.0357142857142858,0.030571428571428576,18.4260839889624,3,S,True
1.0357142857142858,0.030571428571428576,0.00345205479452054,3,N,True
1.0357142857142858,0.030571428571428576,0.0401772068760165,3,C,True
1.0357142857142858,0.035500000000000004,15.3061224489796,0,H,False
1.0357142857142858,0.035500000000000004,0.0,0,S,False
1.0357142857142858,0.035500000000000004,0.0184114285714286,0,N,False
1.0357142857142858,0.035500000000000004,0.151071428571428,0,C,False
1.0357142857142858,0.035500000000000004,15.3061224489796,1,H,True
1.0357142857142858,0.035500000000000004,37.1650822977472,1,S,True
1.0357142857142858,0.035500000000000004,0.0184114285714286,1,N,True
1.0357142857142858,0.035500000000000004,0.00278275020341741,1,C,True
1.0357142857142858,0.035500000000000004,103.924423963134,2,H,False
1.0357142857142858,0.035500000000000004,67.8783691314997,2,S,False
1.0357142857142858,0.035500000000000004,0.00290322580645161,2,N,False
1.0357142857142858,0.035500000000000004,0.00779452922003462,2,C,False
1.0357142857142858,0.035500000000000004,103.924423963134,3,H,True
1.0357142857142858,0.035500000000000004,20.7679854046231,3,S,True
1.0357142857142858,0.035500000000000004,0.00290322580645161,3,N,True
1.0357142857142858,0.035500000000000004,0.0354790553884852,3,C,True
1.0357142857142858,0.04042857142857143,15.3061224489796,0,H,False
1.0357142857142858,0.04042857142857143,0.0,0,S,False
1.0357142857142858,0.04042857142857143,0.0184114285714286,0,N,False
1.0357142857142858,0.04042857142857143,0.151071428571428,0,C,False
1.0357142857142858,0.04042857142857143,15.3061224489796,1,H,True
1.0357142857142858,0.04042857142857143,37.1650822977472,1,S,True
1.0357142857142858,0.04042857142857143,0.0184114285714286,1,N,True
1.0357142857142858,0.04042857142857143,0.00278275020341741,1,C,True
1.0357142857142858,0.04042857142857143,106.200170406135,2,H,False
1.0357142857142858,0.04042857142857143,63.4160621238597,2,S,False
1.0357142857142858,0.04042857142857143,0.00250497017892644,2,N,False
1.0357142857142858,0.04042857142857143,0.00856035667127372,2,C,False
1.0357142857142858,0.04042857142857143,106.200170406135,3,H,True
1.0357142857142858,0.04042857142857143,22.8756978023042,3,S,True
1.0357142857142858,0.04042857142857143,0.00250497017892644,3,N,True
1.0357142857142858,0.04042857142857143,0.0318734827656603,3,C,True
1.0357142857142858,0.04535714285714286,15.3061224489796,0,H,False
1.0357142857142858,0.04535714285714286,0.0,0,S,False
1.0357142857142858,0.04535714285714286,0.0184114285714286,0,N,False
1.0357142857142858,0.04535714285714286,0.151071428571428,0,C,False
1.0357142857142858,0.04535714285714286,15.3061224489796,1,H,True
1.0357142857142858,0.04535714285714286,37.1650822977472,1,S,True
1.0357142857142858,0.04535714285714286,0.0184114285714286,1,N,True
1.0357142857142858,0.04535714285714286,0.00278275020341741,1,C,True
1.0357142857142858,0.04535714285714286,107.926873126873,2,H,False
1.0357142857142858,0.04535714285714286,59.5315204714360,2,S,False
1.0357142857142858,0.04535714285714286,0.00220279720279721,2,N,False
1.0357142857142858,0.04535714285714286,0.00932741957514068,2,C,False
1.0357142857142858,0.04535714285714286,107.926873126873,3,H,True
1.0357142857142858,0.04535714285714286,24.8508723419853,3,S,True
1.0357142857142858,0.04535714285714286,0.00220279720279721,3,N,True
1.0357142857142858,0.04535714285714286,0.0289517880358000,3,C,True
1.0357142857142858,0.05028571428571429,15.3061224489796,0,H,False
1.0357142857142858,0.05028571428571429,0.0,0,S,False
1.0357142857142858,0.05028571428571429,0.0184114285714286,0,N,False
1.0357142857142858,0.05028571428571429,0.151071428571428,0,C,False
1.0357142857142858,0.05028571428571429,15.3061224489796,1,H,True
1.0357142857142858,0.05028571428571429,37.1650822977472,1,S,True
1.0357142857142858,0.05028571428571429,0.0184114285714286,1,N,True
1.0357142857142858,0.05028571428571429,0.00278275020341741,1,C,True
1.0357142857142858,0.05028571428571429,109.281836416314,2,H,False
1.0357142857142858,0.05028571428571429,56.0335752611025,2,S,False
1.0357142857142858,0.05028571428571429,0.00196567862714509,2,N,False
1.0357142857142858,0.05028571428571429,0.0101191041780282,2,C,False
1.0357142857142858,0.05028571428571429,109.281836416314,3,H,True
1.0357142857142858,0.05028571428571429,26.7762979730672,3,S,True
1.0357142857142858,0.05028571428571429,0.00196567862714509,3,N,True
1.0357142857142858,0.05028571428571429,0.0264693393011267,3,C,True
1.0357142857142858,0.055214285714285716,15.3061224489796,0,H,False
1.0357142857142858,0.055214285714285716,0.0,0,S,False
1.0357142857142858,0.055214285714285716,0.0184114285714286,0,N,False
1.0357142857142858,0.055214285714285716,0.151071428571428,0,C,False
1.0357142857142858,0.055214285714285716,15.3061224489796,1,H,True
1.0357142857142858,0.055214285714285716,37.1650822977472,1,S,True
1.0357142857142858,0.055214285714285716,0.0184114285714286,1,N,True
1.0357142857142858,0.055214285714285716,0.00278275020341741,1,C,True
1.0357142857142858,0.055214285714285716,110.373440643863,2,H,False
1.0357142857142858,0.055214285714285716,52.7562328283536,2,S,False
1.0357142857142858,0.055214285714285716,0.00177464788732394,2,N,False
1.0357142857142858,0.055214285714285716,0.0109686715106652,2,C,False
1.0357142857142858,0.055214285714285716,110.373440643863,3,H,True
1.0357142857142858,0.055214285714285716,28.7392958948079,3,S,True
1.0357142857142858,0.055214285714285716,0.00177464788732394,3,N,True
1.0357142857142858,0.055214285714285716,0.0242576352313327,3,C,True
1.0357142857142858,0.06014285714285715,15.3061224489796,0,H,False
1.0357142857142858,0.06014285714285715,0.0,0,S,False
1.0357142857142858,0.06014285714285715,0.0184114285714286,0,N,False
1.0357142857142858,0.06014285714285715,0.151071428571428,0,C,False
1.0357142857142858,0.06014285714285715,15.3061224489796,1,H,True
1.0357142857142858,0.06014285714285715,37.1650822977472,1,S,True
1.0357142857142858,0.06014285714285715,0.0184114285714286,1,N,True
1.0357142857142858,0.06014285714285715,0.00278275020341741,1,C,True
1.0357142857142858,0.06014285714285715,111.271666972309,2,H,False
1.0357142857142858,0.06014285714285715,49.5135768875445,2,S,False
