$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.001,,1,C,False
1.0357142857142858,0.001,,2,H,False
1.0357142857142858,0.001,,2,S,False
1.0357142857142858,0.001,,2,N,False
1.0357142857142858,0.001,,2,C,False
1.0357142857142858,0.001,,3,H,False
1.0357142857142858,0.001,,3,S,False
1.0357142857142858,0.001,,3,N,False
1.0357142857142858,0.001,,3,C,False
1.0357142857142858,0.07235714285714286,15.3061224489796,0,H,False
1.0357142857142858,0.07235714285714286,0.0,0,S,False
1.0357142857142858,0.07235714285714286,0.0184114285714286,0,N,False
1.0357142857142858,0.07235714285714286,0.151071428571428,0,C,False
1.0357142857142858,0.07235714285714286,15.3061224489796,1,H,True
1.0357142857142858,0.07235714285714286,10.7377394662061,1,S,True
1.0357142857142858,0.07235714285714286,0.0184114285714286,1,N,True
1.0357142857142858,0.07235714285714286,0.108227848101266,1,C,True
1.0357142857142858,0.07235714285714286,,2,H,False
1.0357142857142858,0.07235714285714286,,2,S,False
1.0357142857142858,0.07235714285714286,,2,N,False
1.0357142857142858,0.07235714285714286,,2,C,False
1.0357142857142858,0.07235714285714286,,3,H,False
1.0357142857142858,0.07235714285714286,,3,S,False
1.0357142857142858,0.07235714285714286,,3,N,False
1.0357142857142858,0.07235714285714286,,3,C,False
1.0357142857142858,0.1437142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.1437142857142857,0.0,0,S,False
1.0357142857142858,0.1437142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.1437142857142857,0.151071428571428,0,C,False
1.0357142857142858,0.1437142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.1437142857142857,34.1583524188913,1,S,True
1.0357142857142858,0.1437142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.1437142857142857,0.0147796024200518,1,C,True
1.0357142857142858,0.1437142857142857,,2,H,False
1.0357142857142858,0.1437142857142857,,2,S,False
1.0357142857142858,0.1437142857142857,,2,N,False
1.0357142857142858,0.1437142857142857,,2,C,False
1.0357142857142858,0.1437142857142857,,3,H,False
1.0357142857142858,0.1437142857142857,,3,S,False
1.0357142857142858,0.1437142857142857,,3,N,False
1.0357142857142858,0.1437142857142857,,3,C,False
