$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.008071428571428571,,1,N,False
1.0357142857142858,0.008071428571428571,,1,C,False
1.0357142857142858,0.008071428571428571,,2,H,False
1.0357142857142858,0.008071428571428571,,2,S,False
1.0357142857142858,0.008071428571428571,,2,N,False
1.0357142857142858,0.008071428571428571,,2,C,False
1.0357142857142858,0.008071428571428571,,3,H,False
1.0357142857142858,0.008071428571428571,,3,S,False
1.0357142857142858,0.008071428571428571,,3,N,False
1.0357142857142858,0.008071428571428571,,3,C,False
1.0357142857142858,0.015142857142857142,,0,H,False
1.0357142857142858,0.015142857142857142,,0,S,False
1.0357142857142858,0.015142857142857142,,0,N,False
1.0357142857142858,0.015142857142857142,,0,C,False
1.0357142857142858,0.015142857142857142,,1,H,False
1.0357142857142858,0.015142857142857142,,1,S,False
1.0357142857142858,0.015142857142857142,,1,N,False
1.0357142857142858,0.015142857142857142,,1,C,False
1.0357142857142858,0.015142857142857142,50.3361921097774,2,H,False
1.0357142857142858,0.015142857142857142,31.6532200044109,2,S,False
1.0357142857142858,0.015142857142857142,0.00272727272727273,2,N,False
1.0357142857142858,0.015142857142857142,0.00810646425307979,2,C,False
1.0357142857142858,0.015142857142857142,50.3361921097774,3,H,True
1.0357142857142858,0.015142857142857142,10.3834165318312,3,S,True
1.0357142857142858,0.015142857142857142,0.00272727272727273,3,N,True
1.0357142857142858,0.015142857142857142,0.0339124942497680,3,C,True
1.0357142857142858,0.022214285714285714,,0,H,False
1.0357142857142858,0.022214285714285714,,0,S,False
1.0357142857142858,0.022214285714285714,,0,N,False
1.0357142857142858,0.022214285714285714,,0,C,False
1.0357142857142858,0.022214285714285714,,1,H,False
1.0357142857142858,0.022214285714285714,,1,S,False
1.0357142857142858,0.022214285714285714,,1,N,False
1.0357142857142858,0.022214285714285714,,1,C,False
1.0357142857142858,0.022214285714285714,72.5121309558613,2,H,False
1.0357142857142858,0.022214285714285714,45.5982532236224,2,S,False
1.0357142857142858,0.022214285714285714,0.00272727272727273,2,N,False
1.0357142857142858,0.022214285714285714,0.00810646425307979,2,C,False
1.0357142857142858,0.022214285714285714,72.5121309558613,3,H,True
1.0357142857142858,0.022214285714285714,14.9578986364992,3,S,True
1.0357142857142858,0.022214285714285714,0.00272727272727273,3,N,True
1.0357142857142858,0.022214285714285714,0.0339124942497680,3,C,True
1.0357142857142858,0.029285714285714286,,0,H,False
1.0357142857142858,0.029285714285714286,,0,S,False
1.0357142857142858,0.029285714285714286,,0,N,False
