para_name,para_value,fp_num,stable,var_name,var_value
"u_{S,\max}",0.04017241379310344,2,False,S,67.8144997594001
"u_{S,\max}",0.04017241379310344,3,True,S,21.6050381208945
"u_{S,\max}",0.043103448275862065,0,False,S,0.0
"u_{S,\max}",0.043103448275862065,1,True,S,42.0779220779221
"u_{S,\max}",0.043103448275862065,2,False,S,65.5741312491768
"u_{S,\max}",0.043103448275862065,3,True,S,22.6420023306181
"u_{S,\max}",0.04603448275862068,0,False,S,0.0
"u_{S,\max}",0.04603448275862068,1,True,S,42.0779220779221
"u_{S,\max}",0.04603448275862068,2,False,S,63.5191817774130
"u_{S,\max}",0.04603448275862068,3,True,S,23.6287326403129
"u_{S,\max}",0.0489655172413793,0,False,S,0.0
"u_{S,\max}",0.0489655172413793,1,True,S,42.0779220779221
"u_{S,\max}",0.0489655172413793,2,False,S,61.6179347373128
"u_{S,\max}",0.0489655172413793,3,True,S,24.5766149449196
"u_{S,\max}",0.05189655172413792,0,False,S,0.0
"u_{S,\max}",0.05189655172413792,1,True,S,42.0779220779221
"u_{S,\max}",0.05189655172413792,2,False,S,59.8437238275174
"u_{S,\max}",0.05189655172413792,3,True,S,25.4955281411720
"u_{S,\max}",0.054827586206896546,0,False,S,0.0
"u_{S,\max}",0.054827586206896546,1,True,S,42.0779220779221
"u_{S,\max}",0.054827586206896546,2,False,S,58.1736888986212
"u_{S,\max}",0.054827586206896546,3,True,S,26.3944639332078
"u_{S,\max}",0.05775862068965516,0,False,S,0.0
"u_{S,\max}",0.05775862068965516,1,True,S,42.0779220779221
"u_{S,\max}",0.05775862068965516,2,False,S,56.5876850346387
"u_{S,\max}",0.05775862068965516,3,True,S,27.2820724288592
"u_{S,\max}",0.06068965517241378,0,False,S,0.0
"u_{S,\max}",0.06068965517241378,1,True,S,42.0779220779221
"u_{S,\max}",0.06068965517241378,2,False,S,55.0672729098196
"u_{S,\max}",0.06068965517241378,3,True,S,28.1672206319811
"u_{S,\max}",0.06362068965517241,0,False,S,0.0
"u_{S,\max}",0.06362068965517241,1,True,S,42.0779220779221
"u_{S,\max}",0.06362068965517241,2,False,S,53.5946768535389
"u_{S,\max}",0.06362068965517241,3,True,S,29.0596699502931
"u_{S,\max}",0.06655172413793103,0,False,S,0.0
"u_{S,\max}",0.06655172413793103,1,True,S,42.0779220779221
"u_{S,\max}",0.06655172413793103,2,False,S,52.1515258705401
"u_{S,\max}",0.06655172413793103,3,True,S,29.9710437531697
"u_{S,\max}",0.06948275862068964,0,False,S,0.0
"u_{S,\max}",0.06948275862068964,1,True,S,42.0779220779221
"u_{S,\max}",0.06948275862068964,2,False,S,50.7170249082483
"u_{S,\max}",0.06948275862068964,3,True,S,30.9164237659594
"u_{S,\max}",0.07241379310344827,0,False,S,0.0
"u_{S,\max}",0.07241379310344827,1,True,S,42.0779220779221
"u_{S,\max}",0.07241379310344827,2,False,S,49.2647553088979
"u_{S,\max}",0.07241379310344827,3,True,S,31.9173642323256
"u_{S,\max}",0.07534482758620689,0,False,S,0.0
"u_{S,\max}",0.07534482758620689,1,True,S,42.0779220779221
"u_{S,\max}",0.07827586206896552,0,False,S,0.0
"u_{S,\max}",0.07827586206896552,1,True,S,42.0779220779221
"u_{S,\max}",0.08120689655172414,0,False,S,0.0
"u_{S,\max}",0.08120689655172414,1,True,S,42.0779220779221
"u_{S,\max}",0.08413793103448275,0,False,S,0.0
"u_{S,\max}",0.08413793103448275,1,True,S,42.0779220779221
"u_{S,\max}",0.08706896551724137,0,False,S,0.0
"u_{S,\max}",0.08706896551724137,1,True,S,42.0779220779221
"u_{S,\max}",0.09,0,False,S,0.0
"u_{S,\max}",0.09,1,True,S,42.0779220779221
"u_{H,\max}",0.0,0,False,S,0.0
"u_{H,\max}",0.0,1,True,S,42.0779220779221
"u_{H,\max}",0.0003448275862068966,0,False,S,0.0
"u_{H,\max}",0.0003448275862068966,1,True,S,42.0779220779221
"u_{H,\max}",0.0006896551724137932,0,False,S,0.0
"u_{H,\max}",0.0006896551724137932,1,True,S,42.0779220779221
"u_{H,\max}",0.0010344827586206897,0,False,S,0.0
"u_{H,\max}",0.0010344827586206897,1,True,S,42.0779220779221
"u_{H,\max}",0.0013793103448275863,0,False,S,0.0
"u_{H,\max}",0.0013793103448275863,1,True,S,42.0779220779221
"u_{H,\max}",0.001724137931034483,0,False,S,0.0
"u_{H,\max}",0.001724137931034483,1,True,S,42.0779220779221
"u_{H,\max}",0.0020689655172413794,0,False,S,0.0
"u_{H,\max}",0.0020689655172413794,1,True,S,42.0779220779221
"u_{H,\max}",0.002413793103448276,0,False,S,0.0
"u_{H,\max}",0.002413793103448276,1,True,S,42.0779220779221
"u_{H,\max}",0.0027586206896551726,0,False,S,0.0
"u_{H,\max}",0.0027586206896551726,1,True,S,42.0779220779221
"u_{H,\max}",0.0031034482758620693,0,False,S,0.0
"u_{H,\max}",0.0031034482758620693,1,True,S,42.0779220779221
"u_{H,\max}",0.003448275862068966,0,False,S,0.0
"u_{H,\max}",0.003448275862068966,1,True,S,42.0779220779221
"u_{H,\max}",0.003448275862068966,2,False,S,70.0509435356206
"u_{H,\max}",0.003448275862068966,3,True,S,20.6042728430420
"u_{H,\max}",0.0037931034482758625,0,False,S,0.0
"u_{H,\max}",0.0037931034482758625,1,True,S,42.0779220779221
"u_{H,\max}",0.0037931034482758625,2,False,S,70.0509435356206
"u_{H,\max}",0.0037931034482758625,3,True,S,20.6042728430420
"u_{H,\max}",0.004137931034482759,0,False,S,0.0
"u_{H,\max}",0.004137931034482759,1,True,S,42.0779220779221
"u_{H,\max}",0.004137931034482759,2,False,S,70.0509435356206
"u_{H,\max}",0.004137931034482759,3,True,S,20.6042728430420
"u_{H,\max}",0.004482758620689656,0,False,S,0.0
"u_{H,\max}",0.004482758620689656,1,True,S,42.0779220779221
"u_{H,\max}",0.004482758620689656,2,False,S,70.0509435356206
"u_{H,\max}",0.004482758620689656,3,True,S,20.6042728430420
"u_{H,\max}",0.004827586206896552,0,False,S,0.0
"u_{H,\max}",0.004827586206896552,1,True,S,42.0779220779221
"u_{H,\max}",0.004827586206896552,2,False,S,70.0509435356206
"u_{H,\max}",0.004827586206896552,3,True,S,20.6042728430420
"u_{H,\max}",0.005172413793103449,0,False,S,0.0
"u_{H,\max}",0.005172413793103449,1,True,S,42.0779220779221
"u_{H,\max}",0.005172413793103449,2,False,S,70.0509435356206
"u_{H,\max}",0.005172413793103449,3,True,S,20.6042728430420
"u_{H,\max}",0.005517241379310345,0,False,S,0.0
"u_{H,\max}",0.005517241379310345,1,True,S,42.0779220779221
"u_{H,\max}",0.005517241379310345,2,False,S,70.0509435356206
"u_{H,\max}",0.005517241379310345,3,True,S,20.6042728430420
"u_{H,\max}",0.0058620689655172415,0,False,S,0.0
"u_{H,\max}",0.0058620689655172415,1,True,S,42.0779220779221
